day,cost_1,cost_2,cost_3,prc,sale,profit_1,profit_2,profit_3,discont
12/4/2018,37368.63600000007,36574.32461538471,35838.85111111117,48587.480000000905,42459.46000000068,0.1362325346849856,0.16090892850391664,0.1847327323178871,0.12612343756046018
11/30/2016,2575.0399999999995,2535.246153846154,2498.400000000001,3306.300000000002,2833.7000000000007,0.1004489250652422,0.11772184160542774,0.1342058917707331,0.14293923721380425
12/2/2016,2051.4399999999987,2003.9846153846142,1960.0444444444422,2616.5000000000027,2359.9000000000015,0.15036267207425172,0.17760385078958216,0.2040033105825286,0.09806994076055839
12/3/2016,2875.5200000000023,2814.769230769233,2758.5185185185187,3692.600000000007,3270.4000000000065,0.1373247273536626,0.1618714473108889,0.18556390977443835,0.11433678167145099
12/4/2016,3420.2640000000038,3349.276923076928,3283.548148148151,4319.18000000001,3881.6800000000094,0.13490654522575016,0.1589606022884399,0.18216021963594214,0.1012923749415398
12/5/2016,1984.9200000000008,1926.8153846153841,1873.014814814816,2528.600000000002,2362.6000000000013,0.1902746710194871,0.2261683287688743,0.26138884824228703,0.0656489757177888
12/7/2016,4656.744000000005,4555.800000000008,4462.333333333339,5956.480000000003,5312.880000000012,0.14090016543748293,0.16617937574081437,0.19060581160827775,0.10805039217792907
12/8/2016,5146.236000000004,5031.700000000007,4925.648148148154,6650.320000000008,5890.720000000011,0.1446657323915977,0.17072162489814632,0.19592789067052735,0.11422006760576872
12/9/2016,4993.344,4876.84615384616,4768.977777777782,6339.880000000006,5750.580000000006,0.15164907524897267,0.17915960819571275,0.20583073940839905,0.09295128614421705
12/10/2016,5059.248000000009,4952.169230769242,4853.022222222232,6421.060000000007,5755.260000000016,0.13757222417244733,0.1621694921572836,0.18591255849734042,0.10369004494584856
12/11/2016,14341.875999999982,14020.807692307662,13723.522222222222,18119.31999999987,16428.819999999832,0.14551401783140874,0.17174561983424788,0.19712853114319126,0.09329820324383302
12/12/2016,32868.803999999705,32196.91538461503,31574.796296296085,41843.88000000047,37236.08000000021,0.13286993953295492,0.15651078853948527,0.1792975527246151,0.11011885131111661
12/13/2016,14584.87999999994,14278.523076922991,13994.859259259225,18466.299999999886,16576.1999999998,0.13653317682420904,0.1609183884564591,0.18444921045081028,0.10235401785956566
12/14/2016,7965.740000000007,7780.023076923085,7608.062962962979,10079.399999999952,9172.899999999978,0.15154398712485842,0.1790324924881535,0.2056813994120218,0.08993590888346319
12/15/2016,9749.299999999987,9531.130769230744,9329.122222222208,12443.599999999917,11167.399999999923,0.14545659688387255,0.1716762963793899,0.19704723917100056,0.1025587450577005
12/16/2016,9666.204000000002,9451.423076923058,9252.551851851846,12455.779999999939,11062.279999999955,0.14442856782248267,0.17043538417087947,0.19559232708173396,0.11187577173007154
12/17/2016,13010.951999999961,12743.492307692279,12495.844444444416,16685.839999999884,14749.439999999913,0.1336172787356342,0.1574095737552881,0.1803476000021298,0.11605049550996438
12/18/2016,15313.647999999932,14984.076923076864,14678.918518518467,20764.5599999999,17455.859999999844,0.13988907150013646,0.16496065053671782,0.1891788879390586,0.15934361238572217
12/19/2016,2733.259999999999,2668.884615384617,2609.2777777777756,3528.0000000000064,3151.700000000003,0.1530919122220368,0.18090530472251484,0.20788213000617672,0.10666099773242707
12/20/2016,3841.320000000004,3759.923076923082,3684.5555555555584,5143.000000000006,4370.400000000008,0.13773390397051105,0.16236420548701944,0.18614034558668435,0.15022360489986342
12/21/2016,7328.468000000012,7178.084615384623,7038.840740740747,9233.259999999987,8305.960000000014,0.13338285709919187,0.15712762457523016,0.18001817428901212,0.10043040053025422
12/22/2016,5256.816000000006,5164.292307692316,5078.622222222228,6618.720000000005,5858.220000000013,0.1144046129824605,0.13437033594594902,0.15350576271779878,0.11490137065776937
12/23/2016,9487.680000000008,9337.215384615387,9197.896296296298,11941.499999999965,10465.699999999997,0.1030831562615928,0.12085879664337357,0.1378362685187268,0.1235858141774461
12/24/2016,5581.57600000001,5467.553846153858,5361.977777777786,6994.820000000006,6322.720000000017,0.13278400222446227,0.15640744982287166,0.17917683773400486,0.09608538890207166
12/26/2016,3860.9000000000037,3800.300000000007,3744.188888888893,5076.8000000000075,4254.800000000015,0.1020228444145175,0.11959582138252424,0.13637429260751002,0.16191301607311526
12/27/2016,4470.900000000007,4394.34615384616,4323.462962962964,5648.500000000007,4968.500000000012,0.11129750162159836,0.1306574006809461,0.14919453284618617,0.12038594317075234
12/29/2016,5519.004000000003,5393.699999999999,5277.677777777782,7041.580000000005,6333.480000000008,0.14757662795678436,0.17423660937760888,0.20005052727314895,0.1005598175409492
12/30/2016,7150.420000000008,6979.238461538475,6820.737037037044,9123.89999999999,8263.100000000015,0.1556104396664819,0.18395438779412765,0.2114673172607076,0.0943456197459394
12/31/2016,8677.744000000002,8488.861538461544,8313.970370370374,11587.379999999956,9905.479999999983,0.14148101165463978,0.16687967581047106,0.19142594437207616,0.14514929172944865
1/1/2017,4112.340000000001,4003.992307692311,3903.6703703703733,5217.200000000007,4816.600000000009,0.1712552950388361,0.20294936400016253,0.23386442578731823,0.07678448209767653
1/2/2017,5907.08000000001,5744.923076923082,5594.777777777781,7961.800000000005,6961.100000000008,0.17843333762197158,0.21169594558406116,0.24421385021746533,0.12568765856966974
